author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
METRAGE,real_estate_agent,https://www.cian.ru/sale/flat/299137067/,Москва,sale,flat,9,18,2,49.5,-1,0,12500000,,,1.3,Коммунарка,Дзен-кварталы ЖК
The Smitt,real_estate_agent,https://www.cian.ru/sale/flat/300769352/,Москва,sale,flat,1,9,2,45.8,-1,0,12500000,Теплый Стан,Профсоюзная ,152К4,Тёплый Стан,
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/299592414/,Москва,sale,flat,5,5,2,45.6,-1,0,12500000,Кузьминки, Юных Ленинцев,101К2,Кузьминки,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/299693850/,Москва,sale,flat,9,16,2,55.2,-1,0,12500000,, Гренадерская,9к1,Ольховая,"Новые Ватутинки, мкр. Десна"
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/299601515/,Москва,sale,flat,6,8,2,40.9,-1,0,12699000,Измайлово,3-я Парковая ,35,Измайловская,
А101,developer,https://www.cian.ru/sale/flat/301252086/,Москва,sale,flat,5,16,2,37.6,-1,0,12688600,,,к22.2,Бунинская аллея,Скандинавия ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300476997/,Москва,sale,flat,2,14,2,52.2,-1,0,12680000,Ново-Переделкино,Новоорловская ,8,Новопеределкино,
ID 89000637,unknown,https://www.cian.ru/sale/flat/299324934/,Москва,sale,flat,3,4,2,54.2,-1,0,12700000,Троицк, Бориса Житкова,5,,
А101,developer,https://www.cian.ru/sale/flat/284988804/,Москва,sale,flat,13,30,2,46.8,-1,0,12826623,Южное Бутово,м. Бунинская аллея,,Бунинская аллея,Южные Сады ЖК
САМОЛЕТ ПЛЮС,real_estate_agent,https://www.cian.ru/sale/flat/297450466/,Москва,sale,flat,4,17,2,58.4,-1,0,12800000,Некрасовка,2-я Вольская ,6,Люберцы,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301632441/,Москва,sale,flat,14,14,2,38.5,-1,0,12800000,Ховрино,Зеленоградская ,25А,Грачёвская,
ID 109455433,developer,https://www.cian.ru/sale/flat/298003717/,Москва,sale,flat,3,25,2,34.71,-1,0,12848435,Соколиная гора,Окружной проезд,10Г,Измайлово,Измайловский Парк
Plus Development,developer,https://www.cian.ru/sale/flat/298554448/,Москва,sale,flat,9,23,2,65.9,-1,0,12867039,,,,Филатов Луг,Детали ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299943746/,Москва,sale,flat,4,19,2,50.0,-1,0,12980000,Некрасовка,Рождественская ,29,Некрасовка,
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/297238474/,Москва,sale,flat,2,12,2,64.1,-1,0,12915830,,,5/2,Аэропорт Внуково,"Новые Ватутинки, мкр. Заречный"
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301003685/,Москва,sale,flat,2,9,2,43.8,-1,0,12900000,Солнцево,Производственная ,1К1,Солнцево,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301267140/,Москва,sale,flat,3,5,2,43.0,-1,0,12900000,Кузьминки,Волгоградский проспект,129,Кузьминки,
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300929697/,Москва,sale,flat,4,14,2,44.7,-1,0,12950000,Свиблово,Уржумская ,3К3,Свиблово,
ID 66980805,unknown,https://www.cian.ru/sale/flat/300077283/,Москва,sale,flat,10,16,2,41.9,-1,0,12999999,Даниловский,Автозаводская ,23С120,ЗИЛ,Парк Легенд
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301614540/,Москва,sale,flat,5,9,2,43.0,-1,0,13000000,Перово,1-я Владимирская ,9,Перово,
КРОСТ,developer,https://www.cian.ru/sale/flat/277811211/,Москва,sale,flat,13,21,2,51.8,-1,0,13053600,,,,Прокшино,Новая Звезда ЖК
Владимир Фетискин,realtor,https://www.cian.ru/sale/flat/299278062/,Москва,sale,flat,9,14,2,51.3,-1,0,13000000,Косино-Ухтомский, Дмитриевского,9,Лухмановская,
Основа,developer,https://www.cian.ru/sale/flat/293007205/,Москва,sale,flat,10,36,2,46.1,-1,0,13000200,Ярославский,проспект Мира,222,Ростокино,Квартал МИРАПОЛИС
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/301563501/,Москва,sale,flat,5,14,2,55.3,-1,0,13115520,, Гренадерская,9к1,Ольховая,"Новые Ватутинки, мкр. Десна"
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/298060374/,Москва,sale,flat,2,15,2,52.6,-1,0,13005414,, Гренадерская,9к1,Ольховая,"Новые Ватутинки, мкр. Десна"
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300275770/,Москва,sale,flat,2,5,2,43.6,-1,0,13000000,Измайлово,11-я Парковая ,37К2,Первомайская,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300059360/,Москва,sale,flat,4,7,2,62.1,-1,0,13000000,, Медовая Долина,4,Санино,Баркли Медовая долина
ВЫБОР,developer,https://www.cian.ru/sale/flat/300605195/,Москва,sale,flat,3,19,2,60.9,-1,0,13227480,,,,,Академик
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298204732/,Москва,sale,flat,9,17,2,47.5,-1,0,13150000,,проспект Магеллана,4,Филатов Луг,Испанские кварталы
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169354/,Москва,sale,flat,17,20,2,43.8,-1,0,13250000,Чертаново Южное,Дорожная ,46к5,Красный Строитель,Ютаново
Концерн Русич,developer,https://www.cian.ru/sale/flat/297279860/,Москва,sale,flat,8,32,2,39.0,-1,0,13239135,Царицыно,Севанская ,62С2,Каширская,РУСИЧ-Кантемировский
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300062514/,Москва,sale,flat,6,24,2,52.0,-1,0,13150000,Черемушки,Нахимовский проспект,31к3,Новые Черёмушки,Апарт-комплекс Нахимов
Основа,developer,https://www.cian.ru/sale/flat/287549223/,Москва,sale,flat,15,36,2,47.2,-1,0,13357600,Ярославский,проспект Мира,222,Ростокино,Квартал МИРАПОЛИС
А101,developer,https://www.cian.ru/sale/flat/289130281/,Москва,sale,flat,2,16,2,42.1,-1,0,13302126,,,,Прокшино,Прокшино ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300737220/,Москва,sale,flat,7,14,2,50.8,-1,0,13300000,Выхино-Жулебино,Привольная ,71К1,Жулебино,
One Life,real_estate_agent,https://www.cian.ru/sale/flat/300742374/,Москва,sale,flat,2,18,2,59.0,-1,0,13500000,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/300424388/,Москва,sale,flat,4,12,2,44.8,-1,0,13500000,Теплый Стан, Островитянова,28к1,Коньково,
3SGroup,developer,https://www.cian.ru/sale/flat/299381395/,Москва,sale,flat,17,17,2,52.5,-1,0,13502170,,,,Корниловская,FOREVILLE
Группа Аквилон,developer,https://www.cian.ru/sale/flat/298797946/,Москва,sale,flat,12,23,2,45.4,-1,0,13422367,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169123/,Москва,sale,flat,6,16,2,38.0,-1,0,13490000,, Эдварда Грига,17,Потапово,Скандинавия
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300772469/,Москва,sale,flat,6,14,2,52.6,-1,0,13400000,,проспект Прокшинский,10,Прокшино,Прокшино
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301594730/,Москва,sale,flat,4,5,2,42.1,-1,0,13500000,Коньково,Профсоюзная ,110К4,Беляево,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301575022/,Москва,sale,flat,11,14,2,55.0,-1,0,13499000,, Летчика Грицевца,6,Пыхтино,Солнцево парк
Самолет плюс,real_estate_agent,https://www.cian.ru/sale/flat/300345149/,Москва,sale,flat,5,9,2,55.5,-1,0,13500000,, Бориса Пастернака,4,Мичуринец,Переделкино Ближнее Город-парк
Елена Бакина,realtor,https://www.cian.ru/sale/flat/300829352/,Москва,sale,flat,6,12,2,53.3,-1,0,13500000,Бибирево, Корнейчука,24,Бибирево,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/296661121/,Москва,sale,flat,26,26,2,43.1,-1,0,13499000,Нижегородский,Газгольдерная ,8Б,Нижегородская,Profit
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/294082087/,Москва,sale,flat,4,5,2,46.0,-1,0,13490000,Алексеевский, Константинова,22,ВДНХ,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/296113061/,Москва,sale,flat,1,3,2,61.3,-1,0,13500000,, Кедровая,2,Коммунарка,
One Life,real_estate_agent,https://www.cian.ru/sale/flat/300966811/,Москва,sale,flat,2,18,2,57.5,-1,0,13600000,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/286729268/,Москва,sale,flat,9,30,2,56.8,-1,0,13586560,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
Основа,developer,https://www.cian.ru/sale/flat/298980915/,Москва,sale,flat,10,20,2,50.9,-1,0,13564850,Северный,Новодачная ,67/68,Новодачная,ФизтехСити
Vysotsky Estate,real_estate_agent,https://www.cian.ru/sale/flat/300821896/,Москва,sale,flat,5,17,2,51.0,-1,0,13600000,Нижегородский,3-я Карачаровская ,9к3,Перово,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301255457/,Москва,sale,flat,8,9,2,47.6,-1,0,13750000,Северное Бутово,Феодосийская ,9,Бульвар Дмитрия Донского,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/296483513/,Москва,sale,flat,7,9,2,52.5,-1,0,13736433,,,к4,Боровское шоссе,Переделкино Ближнее Город-парк
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/273859563/,Москва,sale,flat,2,10,2,37.0,-1,0,13700000,Ростокино,проспект Мира,188Бк2,Ростокино,Триколор
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/290294224/,Москва,sale,flat,5,28,2,52.0,-1,0,13936000,Отрадное,Отрадная ,4А,Отрадное,Малевич
Александр Леденев,realtor,https://www.cian.ru/sale/flat/301612981/,Москва,sale,flat,11,16,2,53.9,-1,0,13880000,Восточное Дегунино, 800-летия Москвы,20,Яхромская,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/300439122/,Москва,sale,flat,6,14,2,40.0,-1,0,13900000,Солнцево,Домостроительная улица,14,Мещерская,Мещерский лес
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/299154733/,Москва,sale,flat,11,21,2,44.9,-1,0,13900000,Сокольники, Сокольнический Вал,3,Рижская,Резиденция Сокольники
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300841537/,Москва,sale,flat,17,17,2,44.0,-1,0,13900000,Печатники, Гурьянова,2К2,Печатники,
СТРОЙИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300542057/,Москва,sale,flat,2,19,2,51.1,-1,0,13800000,Некрасовка,Покровская ,14,Некрасовка,Некрасовка
ID 21997999,realtor,https://www.cian.ru/sale/flat/300779197/,Москва,sale,flat,11,12,2,38.4,-1,0,13800000,Кузьминки,Окская ,18К1,Кузьминки,
Екатерина Федюнина,realtor,https://www.cian.ru/sale/flat/301161161/,Москва,sale,flat,6,9,2,47.0,-1,0,13800000,Рязанский, Федора Полетаева,15К3,Рязанский проспект,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300663312/,Москва,sale,flat,3,9,2,35.0,-1,0,13990000,Свиблово, Амундсена,8,Свиблово,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/290294305/,Москва,sale,flat,4,28,2,51.3,-1,0,14004900,Отрадное,Отрадная ,4А,Отрадное,Малевич
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300776288/,Москва,sale,flat,3,14,2,60.0,-1,0,14000000,Старое Крюково,Солнечная аллея,к936,Зеленоград — Крюково,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301348206/,Москва,sale,flat,15,17,2,52.0,-1,0,13990000,, Самуила Маршака,20,Рассказовка,Переделкино Ближнее Город-парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301427208/,Москва,sale,flat,2,5,2,44.0,-1,0,14000000,Кузьминки, Юных Ленинцев,109К2,Кузьминки,
ID 13115976,homeowner,https://www.cian.ru/sale/flat/301461492/,Москва,sale,flat,1,17,2,77.0,-1,0,13990000,,,19,Рассказовка,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301380731/,Москва,sale,flat,4,9,2,45.0,-1,0,13990000,Вешняки, Красный Казанец,1К2,Вешняки,
ID 63296875,unknown,https://www.cian.ru/sale/flat/301422376/,Москва,sale,flat,4,9,2,45.0,-1,0,13999000,Орехово-Борисово Северное,Борисовский проезд,36К3,Домодедовская,
Алия Хайрова,realtor,https://www.cian.ru/sale/flat/301459327/,Москва,sale,flat,2,9,2,37.1,-1,0,14000000,Нагатино-Садовники,Варшавское шоссе,57,Нагатинская,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301406228/,Москва,sale,flat,9,9,2,44.7,-1,0,13990000,Вешняки, Красный Казанец,1К2,Вешняки,
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300840758/,Москва,sale,flat,2,9,2,36.0,-1,0,14100000,Алексеевский,Маломосковская ,27,Алексеевская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/299943744/,Москва,sale,flat,3,15,2,56.62,-1,0,14200000,, Василия Ощепкова,3,Коммунарка,Москвичка
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301039761/,Москва,sale,flat,5,12,2,53.3,-1,0,14200000,Лианозово,Илимская ,10,Алтуфьево,
ID 111759195,developer,https://www.cian.ru/sale/flat/296871955/,Москва,sale,flat,5,30,2,50.7,-1,0,14343334,Рязанский,Рязанский проспект,,Окская,balance
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/298891215/,Москва,sale,flat,9,20,2,60.0,-1,0,14316826,,,к2,Новопеределкино,Город-парк Первый Московский
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300840365/,Москва,sale,flat,9,9,2,35.0,-1,0,14350000,Покровское-Стрешнево,Волоколамское шоссе,49,Щукинская,
МонАрх,developer,https://www.cian.ru/sale/flat/295830571/,Москва,sale,flat,16,30,2,52.6,-1,0,14543900,Черемушки, Наметкина,10Д,Воронцовская,Комплекс апартаментов AIST RESIDENCE
WHITE BROKER,real_estate_agent,https://www.cian.ru/sale/flat/301431218/,Москва,sale,flat,12,12,2,45.8,-1,0,14500000,Отрадное,Северный бульвар,6,Отрадное,
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/292139486/,Москва,sale,flat,1,12,2,71.0,-1,0,14500000,,,36,Саларьево,
Евгений Подгорнов,realtor,https://www.cian.ru/sale/flat/301341551/,Москва,sale,flat,3,14,2,60.0,-1,0,14500000,Марьино,Белореченская ,37К2,Люблино,
Leto Estate,real_estate_agent,https://www.cian.ru/sale/flat/299110435/,Москва,sale,flat,9,9,2,47.7,-1,0,14500000,Восточное Измайлово,11-я Парковая ,9/35,Первомайская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/295812473/,Москва,sale,flat,1,14,2,38.3,-1,0,14500000,Беговой,Скаковая ,15К1,Белорусская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300223179/,Москва,sale,flat,4,12,2,44.9,-1,0,14500000,Можайский,Гродненская ,4К2,Кунцевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299964985/,Москва,sale,flat,15,18,2,64.0,-1,0,14500000,, Александры Монаховой,23,Коммунарка,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301037884/,Москва,sale,flat,12,12,2,52.0,-1,0,14400000,Отрадное,Отрадная ,1,Отрадное,
Адресъ-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301209198/,Москва,sale,flat,5,5,2,58.4,-1,0,14500000,Измайлово,Верхняя Первомайская ,6к3,Первомайская,
ID 16594271,unknown,https://www.cian.ru/sale/flat/298705499/,Москва,sale,flat,12,12,2,55.0,-1,0,14400000,Косино-Ухтомский,Салтыковская ,6/2к2,Новокосино,мой адрес На Салтыковской
ID 96674244,homeowner,https://www.cian.ru/sale/flat/296629472/,Москва,sale,flat,2,9,2,46.0,-1,0,14500000,, Сосенский Стан,1,Ольховая,Коммунарка
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301225428/,Москва,sale,flat,2,17,2,60.3,-1,0,14550000,Некрасовка,Рождественская ,32,Некрасовка,Некрасовка-Парк
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301601005/,Москва,sale,flat,8,9,2,38.0,-1,0,14600000,Останкинский,Калибровская ,11,Алексеевская,
А101,developer,https://www.cian.ru/sale/flat/293987763/,Москва,sale,flat,10,17,2,54.8,-1,0,14570942,,,,Улица Скобелевская,Скандинавия
Новое Летово,developer,https://www.cian.ru/sale/flat/296320601/,Москва,sale,flat,4,7,2,58.4,-1,0,14681760,,,к1,Филатов Луг,Новое Летово ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300386282/,Москва,sale,flat,1,9,2,42.3,-1,0,14600000,Очаково-Матвеевское,Матвеевская ,42К1,Давыдково,
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/296152294/,Москва,sale,flat,3,22,2,55.5,-1,0,14600000,Северный,Челобитьевское шоссе,12к5,Физтех,
Level Group,developer,https://www.cian.ru/sale/flat/301555721/,Москва,sale,flat,21,45,2,37.5,-1,0,,Нижегородский,,,Нижегородская,Левел Нижегородская ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298373712/,Москва,sale,flat,2,18,2,58.0,-1,0,14750000,Крюково,проспект Георгиевский,33Ак4,Зеленоград — Крюково,Жемчужина Зеленограда
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,-1,0,14700000,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299969458/,Москва,sale,flat,9,12,2,59.6,-1,0,14800000,Молжаниновский,Ленинградское шоссе,228к7,Молжаниново,1-й Ленинградский
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301481391/,Москва,sale,flat,1,5,2,43.0,-1,0,14890000,Филевский парк,Сеславинская ,2,Багратионовская,
ID 46995654,unknown,https://www.cian.ru/sale/flat/301632137/,Москва,sale,flat,4,9,2,44.3,-1,0,14800000,Чертаново Северное,Сумской проезд,3К1,Южная,
ID 56068550,homeowner,https://www.cian.ru/sale/flat/299659010/,Москва,sale,flat,5,9,2,40.0,-1,0,14900000,Марфино,Гостиничный проезд,4,Окружная,
ID 75089457,unknown,https://www.cian.ru/sale/flat/300774268/,Москва,sale,flat,9,12,2,40.0,-1,0,14900000,Котловка,Нахимовский проспект,25К3,Нахимовский проспект,
ID 13098673,realtor,https://www.cian.ru/sale/flat/297233874/,Москва,sale,flat,8,23,2,65.3,-1,0,14800000,, Анны Ахматовой,11к1,Рассказовка,Городские истории (Рассказовка)
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301227982/,Москва,sale,flat,5,14,2,54.0,-1,0,15000000,Южное Тушино, Свободы,40К1,Сходненская,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301489334/,Москва,sale,flat,7,9,2,38.0,-1,0,14990000,Марфино, Академика Комарова,14А,Фонвизинская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298169100/,Москва,sale,flat,2,15,2,44.8,-1,0,15000000,Можайский,Верейская ,41с4,Давыдково,Верейская 41
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299487881/,Москва,sale,flat,2,32,2,49.0,-1,0,14968569,Рязанский,Рязанский проспект,вл39,Стахановская,Проспект 39
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/299293091/,Москва,sale,flat,4,25,2,51.0,-1,0,14999000,Митино,Муравская ,38к1,Пятницкое шоссе,Мир Митино
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300702817/,Москва,sale,flat,3,15,2,38.2,-1,0,15000000,Марьина роща,Октябрьская ,42,Марьина Роща,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/300148608/,Москва,sale,flat,8,9,2,43.5,-1,0,14990000,Донской,Загородное шоссе,6К1,Крымская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300555837/,Москва,sale,flat,12,14,2,52.1,-1,0,15000000,Гольяново,Сахалинская ,10/17,Щёлковская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300104962/,Москва,sale,flat,10,24,2,62.0,-1,0,14950000,Можайский,Беловежская ,37К1,Сетунь,
Мария Балакина,realtor,https://www.cian.ru/sale/flat/300621745/,Москва,sale,flat,4,9,2,45.0,-1,0,14999000,Печатники,Шоссейная ,19к1,Печатники,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301591821/,Москва,sale,flat,9,12,2,38.0,-1,0,15100000,Черемушки,Севастопольский проспект,50/11,Зюзино,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/300672528/,Москва,sale,flat,16,22,2,62.6,-1,0,15208905,,,к3,Рассказовка,Город-парк Первый Московский
ОЛ ИНКЛЮЗИВ,real_estate_agent,https://www.cian.ru/sale/flat/300938173/,Москва,sale,flat,3,23,2,49.5,-1,0,15200000,Рязанский,2-й Грайвороновский проезд,44к2,Стахановская,Кварталы 21/19
3SGroup,developer,https://www.cian.ru/sale/flat/298055156/,Москва,sale,flat,6,29,2,36.33,-1,0,15177043,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
Концерн Русич,developer,https://www.cian.ru/sale/flat/294936557/,Москва,sale,flat,2,17,2,54.0,-1,0,15298470,Царицыно,Севанская ,62С2,Каширская,РУСИЧ-Кантемировский
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/296483502/,Москва,sale,flat,12,17,2,51.6,-1,0,15318886,,,к2,Боровское шоссе,Переделкино Ближнее Город-парк
Новое Летово,developer,https://www.cian.ru/sale/flat/296703642/,Москва,sale,flat,6,7,2,61.0,-1,0,15335400,,,к1,Филатов Луг,Новое Летово ЖК
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/301235109/,Москва,sale,flat,3,4,2,51.0,-1,0,15390000,Кунцево, Маршала Тимошенко,6,Молодёжная,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301297467/,Москва,sale,flat,2,16,2,56.1,-1,0,15500000,Дмитровский,Лобненская ,13К2,Лианозово,Дмитровский парк
Руслан Калимуллин,realtor,https://www.cian.ru/sale/flat/300622210/,Москва,sale,flat,8,9,2,48.0,-1,0,15500000,Солнцево,Солнцевский проспект,9К1,Солнцево,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/299322359/,Москва,sale,flat,14,25,2,40.9,-1,0,15490000,Марьино,Донецкая ,30к2,Курьяново,Домашний
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/297844030/,Москва,sale,flat,8,8,2,65.4,-1,0,15499800,, 3-я Нововатутинская,15к1,Кедровая,"Новые Ватутинки, мкр. Центральный"
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300659824/,Москва,sale,flat,8,12,2,52.0,-1,0,15500000,Метрогородок, Николая Химушина,13К3,Бульвар Рокоссовского,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301229686/,Москва,sale,flat,16,18,2,70.3,-1,0,15490000,, Александры Монаховой,98к1,Бунинская аллея,Бунинские луга
Мария Балакина,realtor,https://www.cian.ru/sale/flat/299496399/,Москва,sale,flat,7,9,2,38.0,-1,0,15500000,Черемушки,Нахимовский проспект,37К2,Профсоюзная,
ЛСР,developer,https://www.cian.ru/sale/flat/301419726/,Москва,sale,flat,2,30,2,48.0,-1,0,15650304,Москворечье-Сабурово,,,Борисово,Вэйв ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300206682/,Москва,sale,flat,4,18,2,49.1,-1,0,15650000,Останкинский,Березовая аллея,19к3,Ботанический сад,Апарт-комплекс Легендарный квартал
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301233264/,Москва,sale,flat,2,9,2,45.0,-1,0,15600000,Теплый Стан,Профсоюзная ,140К3,Коньково,
ID 12952860,unknown,https://www.cian.ru/sale/flat/300986703/,Москва,sale,flat,10,12,2,48.0,-1,0,15690000,Люблино,Краснодарская ,60,Люблино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298189595/,Москва,sale,flat,7,21,2,47.73,-1,0,15800000,Нижегородский,Автомобильный проезд,4,Калитники,N’ice Loft
Янина Антипина,realtor,https://www.cian.ru/sale/flat/301302751/,Москва,sale,flat,7,9,2,41.0,-1,0,15800000,, Инженера Кнорре,7к2,Румянцево,
Римарком Владис,real_estate_agent,https://www.cian.ru/sale/flat/295336936/,Москва,sale,flat,6,13,2,48.4,-1,0,16000000,, Фитаревская,6,Коммунарка,Аквилон PARK
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/294664898/,Москва,sale,flat,23,25,2,54.0,-1,0,16000000,Люблино,Люблинская ,74к3,Перерва,Люблинский парк
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/301314745/,Москва,sale,flat,12,17,2,53.2,-1,0,16000000,Тропарево-Никулино,Никулинская ,15К1,Озёрная,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/296383351/,Москва,sale,flat,9,11,2,64.0,-1,0,16000000,,бульвар Андрея Тарковского,7,Рассказовка,Рассказово
Концерн Русич,developer,https://www.cian.ru/sale/flat/296414083/,Москва,sale,flat,3,17,2,55.0,-1,0,16046112,Царицыно,Севанская ,62С2,Каширская,РУСИЧ-Кантемировский
3SGroup,developer,https://www.cian.ru/sale/flat/298055188/,Москва,sale,flat,6,29,2,35.3,-1,0,15961450,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
ЛСР,developer,https://www.cian.ru/sale/flat/301334172/,Москва,sale,flat,11,24,2,53.2,-1,0,16019477,Солнцево,Производственная ,17АС4,Солнцево,Лучи
На Петровке Продажа-Аренда,real_estate_agent,https://www.cian.ru/sale/flat/299464659/,Москва,sale,flat,21,25,2,55.5,-1,0,16000000,Выхино-Жулебино,Рязанский проспект,97к2,Выхино,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301558127/,Москва,sale,flat,1,10,2,67.5,-1,0,15900000,Ховрино,Фестивальная ,22К1,Грачёвская,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/300576198/,Москва,sale,flat,10,14,2,52.0,-1,0,16000000,Лосиноостровский, Малыгина,3К3,Медведково,
ID 11333635,unknown,https://www.cian.ru/sale/flat/298726692/,Москва,sale,flat,5,9,2,43.0,-1,0,15990000,Хорошево-Мневники, Генерала Глаголева,25К1,Народное Ополчение,
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/298468727/,Москва,sale,flat,10,25,2,60.5,-1,0,16300000,Люблино,Люблинская ,74к3,Перерва,Люблинский парк
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301251904/,Москва,sale,flat,6,9,2,37.3,-1,0,16200000,Черемушки,Нахимовский проспект,37К2,Профсоюзная,
